epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants
107,2021-02-18,Brazil,RN,TOTAL,11,3470,1297,160250,3437,157800,98.94911,4569.62410,0.02165,108220,72141,583672,16643.75439,78813,2.24740,14910,0.42517,,
107,2021-02-18,Brazil,RO,TOTAL,37,2623,955,140205,2623,140205,147.58964,7888.98423,0.01871,118333,196966,390179,21954.39519,40372,2.27163,942,0.05300,,
107,2021-02-18,Brazil,RR,TOTAL,4,1028,428,78822,1024,78394,169.70389,13012.06251,0.01304,74276,36964,178172,29412.92028,24227,3.99943,2972,0.49062,,
107,2021-02-18,Brazil,RS,TOTAL,130,11609,4125,594259,11609,594259,102.03706,5223.22683,0.01954,568924,1255,2456245,21589.11314,380694,3.34610,14097,0.12391,,
107,2021-02-18,Brazil,SC,TOTAL,40,6844,4659,627386,6844,627386,95.52271,8756.51869,0.01091,596997,108569,1531799,21379.54396,143754,2.00640,32727,0.45678,,
107,2021-02-18,Brazil,SE,TOTAL,3,2896,279,146837,2896,146837,125.98447,6387.83902,0.01972,135858,2993,304867,13262.60628,41973,1.82595,28259,1.22935,,
107,2021-02-18,Brazil,SP,TOTAL,280,57240,10747,1949459,57240,1949459,124.65415,4245.42547,0.02936,1720128,978315,8153498,17756.24317,1563845,3.40566,325021,0.70781,,
107,2021-02-18,Brazil,TO,TOTAL,6,1470,499,108896,1464,108397,93.45996,6923.41242,0.01350,98580,306,344493,21902.24724,29144,1.85292,295,0.01876,,
107,2021-02-18,Brazil,TOTAL,TOTAL,1439,243752,53479,10039804,243457,10030626,115.11001,4741.22037,0.02428,8979652,4549147,33909730,16013.60968,5640483,2.66367,894673,0.42250,,
107,2021-02-19,Brazil,AC,TOTAL,3,951,432,54562,951,54562,107.83108,6186.62373,0.01743,45925,10186,150160,17026.19808,15846,1.79673,1544,0.17507,,
